date,year,season,RONI
1974-05,1974,AMJ,-0.8
1974-06,1974,MJJ,-0.6
1974-07,1974,JJA,-0.4
1974-08,1974,JAS,-0.2
1974-09,1974,ASO,-0.2
1974-10,1974,SON,-0.4
1974-11,1974,OND,-0.4
1974-12,1974,NDJ,-0.2
1975-01,1975,DJF,-0.1
1975-02,1975,JFM,-0.1
1975-03,1975,FMA,-0.3
1975-04,1975,MAM,-0.5
1975-05,1975,AMJ,-0.6
1975-06,1975,MJJ,-0.8
1975-07,1975,JJA,-0.9
1975-08,1975,JAS,-0.9
1975-09,1975,ASO,-1.0
1975-10,1975,SON,-1.0
1975-11,1975,OND,-1.1
1975-12,1975,NDJ,-1.1
1976-01,1976,DJF,-1.0
1976-02,1976,JFM,-0.6
1976-03,1976,FMA,-0.3
1976-04,1976,MAM,-0.1
1976-05,1976,AMJ,0.0
1976-06,1976,MJJ,0.2
1976-07,1976,JJA,0.5
1976-08,1976,JAS,0.7
1976-09,1976,ASO,0.9
1976-10,1976,SON,1.1
1976-11,1976,OND,1.1
1976-12,1976,NDJ,1.1
1977-01,1977,DJF,1.0
1977-02,1977,JFM,0.9
1977-03,1977,FMA,0.5
1977-04,1977,MAM,0.3
1977-05,1977,AMJ,0.2
1977-06,1977,MJJ,0.4
1977-07,1977,JJA,0.4
1977-08,1977,JAS,0.6
1977-09,1977,ASO,0.8
1977-10,1977,SON,1.0
1977-11,1977,OND,1.1
1977-12,1977,NDJ,1.1
1978-01,1978,DJF,0.9
1978-02,1978,JFM,0.6
1978-03,1978,FMA,0.1
1978-04,1978,MAM,-0.2
1978-05,1978,AMJ,-0.4
1978-06,1978,MJJ,-0.3
1978-07,1978,JJA,-0.3
1978-08,1978,JAS,-0.3
1978-09,1978,ASO,-0.2
1978-10,1978,SON,0.0
1978-11,1978,OND,0.2
1978-12,1978,NDJ,0.2
1979-01,1979,DJF,0.2
1979-02,1979,JFM,0.2
1979-03,1979,FMA,0.2
1979-04,1979,MAM,0.2
1979-05,1979,AMJ,0.1
1979-06,1979,MJJ,-0.1
1979-07,1979,JJA,0.0
1979-08,1979,JAS,0.2
1979-09,1979,ASO,0.4
1979-10,1979,SON,0.5
1979-11,1979,OND,0.5
1979-12,1979,NDJ,0.7
1980-01,1980,DJF,0.6
1980-02,1980,JFM,0.5
1980-03,1980,FMA,0.3
1980-04,1980,MAM,0.2
1980-05,1980,AMJ,0.3
1980-06,1980,MJJ,0.3
1980-07,1980,JJA,0.2
1980-08,1980,JAS,0.0
1980-09,1980,ASO,0.0
1980-10,1980,SON,0.1
1980-11,1980,OND,0.2
1980-12,1980,NDJ,0.2
1981-01,1981,DJF,0.0
1981-02,1981,JFM,-0.3
1981-03,1981,FMA,-0.3
1981-04,1981,MAM,-0.3
1981-05,1981,AMJ,-0.3
1981-06,1981,MJJ,-0.3
1981-07,1981,JJA,-0.3
1981-08,1981,JAS,-0.2
1981-09,1981,ASO,-0.1
1981-10,1981,SON,-0.2
1981-11,1981,OND,-0.2
1981-12,1981,NDJ,0.0
1982-01,1982,DJF,0.1
1982-02,1982,JFM,0.3
1982-03,1982,FMA,0.4
1982-04,1982,MAM,0.6
1982-05,1982,AMJ,0.8
1982-06,1982,MJJ,0.8
1982-07,1982,JJA,0.9
1982-08,1982,JAS,1.3
1982-09,1982,ASO,1.8
1982-10,1982,SON,2.2
1982-11,1982,OND,2.4
1982-12,1982,NDJ,2.5
1983-01,1983,DJF,2.5
1983-02,1983,JFM,2.2
1983-03,1983,FMA,1.7
1983-04,1983,MAM,1.4
1983-05,1983,AMJ,1.0
1983-06,1983,MJJ,0.6
1983-07,1983,JJA,0.1
1983-08,1983,JAS,-0.2
1983-09,1983,ASO,-0.6
1983-10,1983,SON,-0.9
1983-11,1983,OND,-1.1
1983-12,1983,NDJ,-1.0
1984-01,1984,DJF,-0.5
